ทางหลวงสาย,ตอนควบคุม,ชื่อสายทาง,จุดสำรวจ,รถยนต์นั่ง (ไม่เกิน 7 คน),รถยนต์นั่ง (เกิน 7 คน),รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,รถบรรทุกขนาดเล็ก (4 ล้อ),รถบรรทุกขนาด 2 เพลา (6ล้อ),รถบรรทุกขนาด 3 เพลา (10ล้อ),รถบรรทุกพ่วง (มากกว่า 3 เพลา),รถบรรทุกกึ่งพ่วง (มากกว่า 3 เพลา),รวม,% ของยานยนต์หนัก,จักรยาน 2 ล้อ และ จักรยาน 3 ล้อ,สามล้อเครื่องและจักรยานยนต์,แขวงทางหลวง,จังหวัด
305,100,ต่างระดับรังสิต - วัดนาบุญ,4+550,49537,48858,11148,9284,8453,11408,8368,2229,1470,1316,152072,20.464,8,10601,ปทุมธานี,ปทุมธานี
305,201,วัดนาบุญ - คลอง14,25+870,11652,3824,206,368,25,10432,643,972,643,296,29060,10.14,15,2113,นครนายก,ปทุมธานี
305,203,องครักษ์ - นครนายก,54+100,5594,5701,202,344,74,2901,932,828,901,341,17819,19.196,103,665,นครนายก,นครนายก
306,101,พระราม7 - แคราย,1+000,55499,38389,2718,1868,4799,1784,787,0,0,0,105845,7.043,0,21169,นนทบุรี,กรุงเทพมหานคร
306,102,แคราย - คลองบ้านใหม่,19+390,26162,9321,1407,1087,5308,4582,1126,1851,0,0,50845,18.435,0,16698,นนทบุรี,นนทบุรี
307,101,แยกสวนสมเด็จ - สะพานนนทบุรี,0+100,49871,51517,1163,1070,2147,30568,4201,1922,0,0,142459,6.556,0,22746,นนทบุรี,นนทบุรี
308,100,ทางเข้าบางปะอิน,1+609,8220,6992,2756,2104,1701,5146,2671,1541,1557,1485,34172,32.36,163,4662,อยุธยา,พระนครศรีอยุธยา
309,102,บ้านสร้าง - ทางแยกต่างระดับอยุธยา,10+337,10194,9693,2909,2587,2629,2673,2607,2442,1802,1497,39034,34.751,0,7206,อยุธยา,พระนครศรีอยุธยา
309,103,ทางแยกต่างระดับอยุธยา - อยุธยา,18+000,9135,9452,3028,2342,2571,2771,2348,365,147,97,32256,24.403,0,6711,อยุธยา,พระนครศรีอยุธยา
309,202,แยกที่ดิน - ไชโย,54+900,6449,1020,15,32,21,677,252,10,17,9,8503,4.016,14,4073,อ่างทอง,อ่างทอง
309,201,บางเสด็จ - แยกที่ดิน,43+000,6216,847,97,124,50,894,283,287,400,286,9485,15.075,25,2344,อ่างทอง,อ่างทอง
309,104,อยุธยา - บางเสด็จ,36+637,4434,4016,106,673,191,4526,956,748,646,435,16731,21.81,12,4118,อยุธยา,พระนครศรีอยุธยา
309,104,อยุธยา - บางเสด็จ,25+200,4165,3792,419,222,1323,2072,836,628,723,468,14647,28.671,15,3363,อยุธยา,พระนครศรีอยุธยา
309,202,แยกที่ดิน - ไชโย,67+000,2610,368,56,6,37,791,122,25,11,9,4035,5.208,9,1840,อ่างทอง,อ่างทอง
309,301,ไชโย - ทางแยกวัดสว่างอารมณ์,78+000,1514,138,13,9,13,649,180,53,140,30,2739,15.513,15,827,สิงห์บุรี,สิงห์บุรี
310,100,ทางเข้าพระพุทธบาทสระบุรี,0+500,6059,5195,1610,1588,982,6079,2698,2808,2522,2313,31854,40.529,290,5021,สระบุรี,สระบุรี
311,100,ลพบุรี - แยกวัดสนามไชย,5+768,12779,5885,215,116,158,2009,418,59,0,1,21641,3.478,17,6839,ลพบุรีที่ 1,ลพบุรี
311,201,แยกวัดสนามไชย - วัดกระดังงา,15+977,8824,852,86,27,119,2438,500,318,397,673,14234,14.29,11,2281,สิงห์บุรี,ลพบุรี
311,300,บ้านม้า - ชัยนาท,64+242,1452,644,8,6,32,1800,222,119,78,31,4390,11.082,11,1835,ชัยนาท,ชัยนาท
314,101,บางปะกง - แสนภูดาษ,4+688,5969,5624,4882,5126,5016,7635,6226,6009,5773,5287,57546,58.103,0,4629,ฉะเชิงเทรา,ฉะเชิงเทรา
315,200,หัวไผ่ - ชลบุรี,40+651,19556,17179,5913,3732,4058,23435,8546,5302,5376,5151,98248,32.739,33,9582,ชลบุรีที่ 1,ชลบุรี
315,200,หัวไผ่ - ชลบุรี,32+914,17966,13347,397,403,717,3032,753,1588,787,678,39669,12.418,19,2231,ชลบุรีที่ 1,ชลบุรี
315,200,หัวไผ่ - ชลบุรี,11+500,5235,4631,1896,1762,1762,9862,3727,2534,2533,2355,36298,40.425,33,3510,ชลบุรีที่ 1,ชลบุรี
316,100,เขาไร่ยา - จันทบุรี,3+000,11921,4644,2239,1469,731,20646,477,443,94,85,42748,7.716,74,13284,จันทบุรี,จันทบุรี
317,101,ปากแซง - หน้าค่ายตชด.,0+500,11768,5018,13,22,54,15246,1332,517,183,111,34263,6.473,11,5350,จันทบุรี,จันทบุรี
317,103,พังงอน - เขาแหลม,63+000,6867,265,42,45,53,9763,409,248,153,152,17996,5.883,18,3017,จันทบุรี,จันทบุรี
317,103,พังงอน - เขาแหลม,57+600,5208,441,37,29,27,5227,235,215,235,215,11869,8.054,23,1704,จันทบุรี,จันทบุรี
317,102,หน้าค่ายตชด. - พังงอน,35+000,4367,3732,51,56,35,9056,668,307,251,137,18662,7.797,27,2475,จันทบุรี,จันทบุรี
317,200,เขาแหลม - สระแก้ว,95+500,3943,3887,17,19,41,5577,453,453,433,392,15215,11.778,32,2963,สระแก้ว (วัฒนานคร),สระแก้ว
317,200,เขาแหลม - สระแก้ว,114+500,3829,3254,23,26,42,6082,555,729,685,505,15730,16.162,17,3222,สระแก้ว (วัฒนานคร),สระแก้ว
317,200,เขาแหลม - สระแก้ว,129+494,3732,3775,21,18,47,8595,632,594,643,377,18433,12.534,13,2867,สระแก้ว (วัฒนานคร),สระแก้ว
319,200,โคกไทย - พนมสารคาม,47+054,7515,5531,2,21,42,8067,2151,2349,1695,1585,28958,27.083,10,3391,ฉะเชิงเทรา,ฉะเชิงเทรา
319,103,ไผ่ชะเลือด - โคกไทย,31+465,5013,2056,75,67,47,3570,1694,1172,940,850,15483,30.803,18,2602,ปราจีนบุรี,ปราจีนบุรี
319,103,ไผ่ชะเลือด - โคกไทย,35+006,3035,2179,61,26,29,1140,947,852,786,650,9703,33.898,25,1848,ปราจีนบุรี,ปราจีนบุรี
319,102,ปราจีนบุรี - ไผ่ชะเลือด,12+138,2509,1469,59,48,65,823,796,620,561,453,7404,34.351,23,917,ปราจีนบุรี,ปราจีนบุรี
320,100,ศาลนเรศวร - สถานีรถไฟปราจีนบุรี,2+156,4211,2758,127,191,139,4257,1516,123,142,146,13609,16.583,49,3013,ปราจีนบุรี,ปราจีนบุรี
321,300,ดอนแจง - สุพรรณบุรี,105+150,15435,7962,313,71,74,5224,302,65,10,19,29475,1.837,38,8101,สุพรรณบุรีที่ 1,สุพรรณบุรี
321,102,หนองปลาไหล - กำแพงแสน,22+800,11796,11542,6445,6041,1355,5809,6773,8798,8404,5270,72230,50.725,209,9267,นครปฐม,นครปฐม
321,101,นครปฐม - หนองปลาไหล,9+150,5877,4538,1495,1446,1368,10528,5505,5772,4042,1752,42323,46.984,1179,8100,นครปฐม,นครปฐม
321,203,วังขอน - ดอนแจง,77+925,4933,3125,22,69,39,8099,699,527,1076,649,19235,15.895,11,2389,สุพรรณบุรีที่ 2 (อู่ทอง),สุพรรณบุรี
321,201,กำแพงแสน - ทุ่งคอก,48+551,3628,2186,9,112,16,8023,642,954,2479,1490,19540,29.137,22,1707,สุพรรณบุรีที่ 2 (อู่ทอง),สุพรรณบุรี
322,100,อู่ยา - ดอนเจดีย์,13+600,3794,1801,57,39,6,2202,225,119,97,48,8388,6.359,9,1503,สุพรรณบุรีที่ 1,สุพรรณบุรี
323,100,หนองตะแครง - ลูกแก,8+360,12661,8520,1016,555,471,10272,1838,1698,1856,1482,40370,19.569,35,6179,ราชบุรี,ราชบุรี
323,202,หนองเสือ - ท่าน้ำตื้น,64+650,12409,9487,134,146,140,11751,130,70,25,0,34293,1.492,2,7327,กาญจนบุรี,กาญจนบุรี
323,202,หนองเสือ - ท่าน้ำตื้น,54+240,12274,10561,96,33,143,13142,212,139,105,30,36736,1.803,0,5018,กาญจนบุรี,กาญจนบุรี
323,100,หนองตะแครง - ลูกแก,1+360,11278,4927,586,660,541,12370,2217,2161,2202,1573,38515,24.286,33,6951,ราชบุรี,ราชบุรี
323,202,หนองเสือ - ท่าน้ำตื้น,43+660,10976,9690,0,0,78,12202,516,268,220,56,34006,3.348,0,5065,กาญจนบุรี,กาญจนบุรี
323,100,หนองตะแครง - ลูกแก,11+624,10154,7853,1593,758,820,9301,1807,1691,1423,1010,36411,20.624,24,8260,ราชบุรี,ราชบุรี
323,202,หนองเสือ - ท่าน้ำตื้น,65+600,9237,4692,154,144,161,10532,415,187,37,21,25580,3.768,0,5278,กาญจนบุรี,กาญจนบุรี
323,201,ลูกแก - หนองเสือ,28+050,6361,4350,9,23,35,5982,777,1310,1152,771,20771,19.585,5,1203,กาญจนบุรี,กาญจนบุรี
323,203,ท่าน้ำตื้น - หนองสามพราน,77+350,3097,2032,27,22,24,2766,64,88,40,9,8169,3.02,3,972,กาญจนบุรี,กาญจนบุรี
323,205,แก่งประลอม - ทองผาภูมิ,156+712,2247,314,10,93,45,2494,196,122,129,72,5722,11.477,4,1481,กาญจนบุรี,กาญจนบุรี
323,205,แก่งประลอม - ทองผาภูมิ,176+012,2015,1110,81,142,40,2074,190,121,108,63,5943,11.164,2,1977,กาญจนบุรี,กาญจนบุรี
323,204,หนองสามพราน - แก่งประลอม,121+012,1502,740,136,34,73,3666,151,121,90,51,6565,7.933,18,1605,กาญจนบุรี,กาญจนบุรี
323,206,ทองผาภูมิ - เจดีย์สามองค์,207+226,1303,263,22,47,3,994,99,37,25,11,2804,7.943,3,870,กาญจนบุรี,กาญจนบุรี
323,206,ทองผาภูมิ - เจดีย์สามองค์,269+167,982,312,33,15,6,1787,122,21,46,13,3336,6.642,0,2253,กาญจนบุรี,กาญจนบุรี
323,206,ทองผาภูมิ - เจดีย์สามองค์,257+826,686,98,49,5,2,868,54,10,26,13,1811,6.053,0,380,กาญจนบุรี,กาญจนบุรี
324,100,กาญจนบุรี - หนองขาว,5+000,8890,7892,51,34,108,10596,175,69,57,17,27890,1.65,0,6026,กาญจนบุรี,กาญจนบุรี
324,201,หนองขาว - ตลาดเขต,12+910,4833,1466,27,23,33,6754,343,268,349,271,14369,8.958,13,2018,สุพรรณบุรีที่ 2 (อู่ทอง),กาญจนบุรี
